sepal_length,sepal_width,petal_length,petal_width,Iris-setosa,Iris-versicolor,Iris-virginica
0.540000,0.370000,0.150000,0.020000,1,0,0
0.480000,0.340000,0.160000,0.020000,1,0,0
0.480000,0.300000,0.140000,0.010000,1,0,0
0.430000,0.300000,0.110000,0.010000,1,0,0
0.580000,0.400000,0.120000,0.020000,1,0,0
0.570000,0.440000,0.150000,0.040000,1,0,0
0.540000,0.390000,0.130000,0.040000,1,0,0
0.510000,0.350000,0.140000,0.030000,1,0,0
0.570000,0.380000,0.170000,0.030000,1,0,0
0.510000,0.380000,0.150000,0.030000,1,0,0
0.660000,0.290000,0.460000,0.130000,0,1,0
0.520000,0.270000,0.390000,0.140000,0,1,0
0.500000,0.200000,0.350000,0.100000,0,1,0
0.590000,0.300000,0.420000,0.150000,0,1,0
0.600000,0.220000,0.400000,0.100000,0,1,0
0.610000,0.290000,0.470000,0.140000,0,1,0
0.560000,0.290000,0.360000,0.130000,0,1,0
0.670000,0.310000,0.440000,0.140000,0,1,0
0.560000,0.300000,0.450000,0.150000,0,1,0
0.580000,0.270000,0.410000,0.100000,0,1,0
0.690000,0.310000,0.540000,0.210000,0,0,1
0.670000,0.310000,0.560000,0.240000,0,0,1
0.690000,0.310000,0.510000,0.230000,0,0,1
0.580000,0.270000,0.510000,0.190000,0,0,1
0.680000,0.320000,0.590000,0.230000,0,0,1
0.670000,0.330000,0.570000,0.250000,0,0,1
0.670000,0.300000,0.520000,0.230000,0,0,1
0.630000,0.250000,0.500000,0.190000,0,0,1
0.650000,0.300000,0.520000,0.200000,0,0,1
0.620000,0.340000,0.540000,0.230000,0,0,1
0.590000,0.300000,0.510000,0.180000,0,0,1
